is_preferred_configuration,gate,direction,movstat_sum,movstat_sum_more,tester_sum,tester_sum_more,hit,mistake [%],real_mistake [%],correct [%],Test ID,Instance,Camera,Camera version,Movie,MovStat ver.,No movements,processed_image_size,ml_enabled,ml_max_conf_thresh,ml_only_ml_input,ml_model_file_path,scale,algorithm,morphology_size,x_cluster_dist,y_cluster_dist,max_object_frame_interval,min_frames_in_gate_range,filter_slow_objects,keep_lost_objects_max_frames,split_bigger_objects,object_size_gate_range,custom_avg_factor,nSamples,replaceRate,propagationRate,hitsThreshold,alpha,beta,blinkingSupressionDecay,blinkingSupressionMultiplier,noiseRemovalThresholdFacBG,noiseRemovalThresholdFacFG,subconfiguration_index,subconfig,optimize
1,12,IN,7,0,7,0,7,0,0,100,9018693,,Cam 3 Entrance 2,5054,http://storage.movstat.com/000600/1740/0132020100611.mp4,3.1.1.270,,240,0,,,,,GSOC,0,590,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,12,OUT,7,7,0,0,0,0,0,0,9018693,,Cam 3 Entrance 2,5054,http://storage.movstat.com/000600/1740/0132020100611.mp4,3.1.1.270,,240,0,,,,,GSOC,0,590,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,12,IN,5,0,5,0,5,0,0,100,9018694,,Cam 3 Entrance 2,5054,http://storage.movstat.com/000600/1740/0132020100618.mp4,3.1.1.270,,240,0,,,,,GSOC,0,590,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,12,OUT,4,4,0,0,0,0,0,0,9018694,,Cam 3 Entrance 2,5054,http://storage.movstat.com/000600/1740/0132020100618.mp4,3.1.1.270,,240,0,,,,,GSOC,0,590,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
1,12,IN,9,0,11,2,9,18.18,18.18,81.82,9018695,,Cam 3 Entrance 2,5054,http://storage.movstat.com/000600/1740/0132020100615.mp4,3.1.1.270,,240,0,,,,,GSOC,0,590,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,True
0,12,OUT,5,5,0,0,0,0,0,0,9018695,,Cam 3 Entrance 2,5054,http://storage.movstat.com/000600/1740/0132020100615.mp4,3.1.1.270,,240,0,,,,,GSOC,0,590,1,4,4,0,0,1,12: 1 | 12: 1,0,20,0.003,0.01,32,2.01,0.0022,0.1,0.1,0.0004,0.0008,none,,False
